City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kodiak,US,47.71,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
1,Hilo,US,74.62,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
2,Klimovo,RU,75.54,broken clouds,52.3805,32.1923,
3,Lebu,CL,50.27,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
4,Bredasdorp,ZA,60.12,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
5,Pasni,PK,79.29,overcast clouds,25.2631,63.471,Kashmiri Hotal
6,Komsomolskiy,UZ,79.52,few clouds,40.4272,71.7189,Ikathouse
7,Port Alfred,ZA,61.18,clear sky,-33.5906,26.891,The Halyards Hotel
8,Westport,US,82.78,clear sky,41.1415,-73.3579,The Westport Inn
9,Jamestown,US,72.09,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
10,Atuona,PF,77.97,clear sky,-9.8,-139.0333,Villa Enata
11,Tiruvannamalai,IN,83.17,light rain,12.2167,79.0667,Hotel Aakash
12,Nikolskoye,RU,62.02,overcast clouds,59.7035,30.7861,Tourist House - Sablino
13,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
14,Rocha,UY,64.51,broken clouds,-34.4833,-54.3333,Beleza Pura B&B
15,Rikitea,PF,74.48,clear sky,-23.1203,-134.9692,People ThankYou
16,Marquette,US,82.76,scattered clouds,46.5333,-87.6335,Al Quaal Lodge
17,Acapulco,MX,86.02,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
18,Mandera,KE,86.63,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
19,Logan,US,83.77,broken clouds,41.7355,-111.8344,SpringHill Suites by Marriott Logan
20,New Norfolk,AU,42.3,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
22,Ushuaia,AR,47.86,scattered clouds,-54.8,-68.3,Albatros Hotel
23,Sovetsk,RU,64.36,few clouds,55.0839,21.8785,Гостинично-развлекательный комплекс KRONUS
24,Isangel,VU,69.62,scattered clouds,-19.55,169.2667,Tanna Lodge
25,Vardo,NO,48.4,broken clouds,70.3705,31.1107,Vardø Hotel AS
26,Rabak,SD,82.31,broken clouds,13.1809,32.74,فندق ربك Rabak Hotel
27,Sao Joao Da Barra,BR,71.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
28,Vaini,TO,66.36,few clouds,-21.2,-175.2,Keleti Beach Resort
