City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
0,Kodiak,US,2021-08-15 16:48:57,57.79,-152.4072,47.71,76,1,0.0,clear sky,0,0
1,Hilo,US,2021-08-15 16:48:57,19.7297,-155.09,74.62,88,1,5.75,clear sky,0,0
2,Klimovo,RU,2021-08-15 16:48:58,52.3805,32.1923,75.54,51,55,3.42,broken clouds,0,0
3,Lebu,CL,2021-08-15 16:48:58,-37.6167,-73.65,50.27,89,100,24.56,overcast clouds,0,0
4,Bredasdorp,ZA,2021-08-15 16:48:58,-34.5322,20.0403,60.12,67,6,5.75,clear sky,0,0
5,Pasni,PK,2021-08-15 16:44:24,25.2631,63.471,79.29,82,92,10.45,overcast clouds,0,0
6,Komsomolskiy,UZ,2021-08-15 16:48:59,40.4272,71.7189,79.52,24,20,6.91,few clouds,0,0
7,Port Alfred,ZA,2021-08-15 16:48:59,-33.5906,26.891,61.18,79,0,10.47,clear sky,0,0
8,Westport,US,2021-08-15 16:45:20,41.1415,-73.3579,82.78,54,1,1.01,clear sky,0,0
9,Jamestown,US,2021-08-15 16:45:47,42.097,-79.2353,72.09,63,1,3.0,clear sky,0,0
10,Atuona,PF,2021-08-15 16:49:00,-9.8,-139.0333,77.97,70,7,17.92,clear sky,0,0
11,Tiruvannamalai,IN,2021-08-15 16:49:00,12.2167,79.0667,83.17,54,100,6.51,light rain,0,0
12,Nikolskoye,RU,2021-08-15 16:49:01,59.7035,30.7861,62.02,62,99,7.56,overcast clouds,0,0
13,Puerto Ayora,EC,2021-08-15 16:49:01,-0.7393,-90.3518,75.16,89,91,8.99,overcast clouds,0,0
14,Rocha,UY,2021-08-15 16:49:01,-34.4833,-54.3333,64.51,70,65,3.2,broken clouds,0,0
15,Rikitea,PF,2021-08-15 16:49:02,-23.1203,-134.9692,74.48,75,1,13.38,clear sky,0,0
16,Marquette,US,2021-08-15 16:49:02,46.5333,-87.6335,82.76,51,49,9.22,scattered clouds,0,0
17,Acapulco,MX,2021-08-15 16:48:07,16.8634,-99.8901,86.02,67,32,3.91,scattered clouds,0,0
18,Mandera,KE,2021-08-15 16:49:02,3.9366,41.867,86.63,37,92,14.03,overcast clouds,0,0
19,Logan,US,2021-08-15 16:49:03,41.7355,-111.8344,83.77,72,83,4.0,broken clouds,0,0
20,New Norfolk,AU,2021-08-15 16:49:03,-42.7826,147.0587,42.3,78,83,1.99,light rain,0,0
21,Nizwa,OM,2021-08-15 16:49:04,22.9333,57.5333,99.16,24,67,6.2,broken clouds,0,0
22,Ushuaia,AR,2021-08-15 16:44:40,-54.8,-68.3,47.86,66,40,8.05,scattered clouds,0,0
23,Sovetsk,RU,2021-08-15 16:49:04,55.0839,21.8785,64.36,72,19,11.21,few clouds,0,0
24,Isangel,VU,2021-08-15 16:45:28,-19.55,169.2667,69.62,67,25,16.26,scattered clouds,0,0
25,Vardo,NO,2021-08-15 16:49:04,70.3705,31.1107,48.4,76,75,14.97,broken clouds,0,0
26,Rabak,SD,2021-08-15 16:49:05,13.1809,32.74,82.31,63,63,13.33,broken clouds,0,0
27,Sao Joao Da Barra,BR,2021-08-15 16:44:52,-21.6403,-41.0511,71.69,74,90,10.36,overcast clouds,0,0
28,Vaini,TO,2021-08-15 16:49:05,-21.2,-175.2,66.36,82,20,9.22,few clouds,0,0
29,Ostrovnoy,RU,2021-08-15 16:49:06,68.0531,39.5131,55.85,92,100,5.53,overcast clouds,0,0
30,Tiksi,RU,2021-08-15 16:49:06,71.6872,128.8694,39.54,93,97,4.27,overcast clouds,0,0
31,Rafaela,AR,2021-08-15 16:49:07,-31.2503,-61.4867,71.06,35,12,4.0,few clouds,0,0
32,Kiunga,PG,2021-08-15 16:49:07,-6.1219,141.2906,74.5,97,99,3.8,moderate rain,0,0
33,Kaitangata,NZ,2021-08-15 16:49:07,-46.2817,169.8464,41.58,88,62,5.82,broken clouds,0,0
34,Saint-Philippe,RE,2021-08-15 16:49:08,-21.3585,55.7679,67.55,71,66,12.39,broken clouds,0,0
35,Nouakchott,MR,2021-08-15 16:49:08,18.0858,-15.9785,85.93,77,63,13.11,broken clouds,0,0
36,Hangzhou,CN,2021-08-15 16:47:58,30.2937,120.1614,78.71,98,98,2.26,light rain,0,0
37,Port Elizabeth,ZA,2021-08-15 16:49:08,-33.918,25.5701,61.11,77,0,12.66,clear sky,0,0
38,Alice Springs,AU,2021-08-15 16:49:09,-23.7,133.8833,49.55,37,0,4.61,clear sky,0,0
39,Pochutla,MX,2021-08-15 16:49:09,15.7432,-96.4661,90.82,54,99,4.34,overcast clouds,0,0
40,Busselton,AU,2021-08-15 16:49:10,-33.65,115.3333,50.09,83,0,9.62,clear sky,0,0
41,The Valley,AI,2021-08-15 16:49:10,18.217,-63.0578,86.14,74,40,17.27,scattered clouds,0,0
42,Troitsko-Pechorsk,RU,2021-08-15 16:49:10,62.7084,56.1964,61.27,82,66,5.37,broken clouds,0,0
43,Thompson,CA,2021-08-15 16:49:11,55.7435,-97.8558,75.36,50,20,17.27,few clouds,0,0
44,Marathon,US,2021-08-15 16:46:18,44.9,-89.7668,77.0,59,1,1.01,clear sky,0,0
45,Kapaa,US,2021-08-15 16:49:11,22.0752,-159.319,79.12,75,1,18.41,clear sky,0,0
46,Penhold,CA,2021-08-15 16:49:12,52.1334,-113.8687,74.14,52,40,12.66,scattered clouds,0,0
47,Hofn,IS,2021-08-15 16:49:12,64.2539,-15.2082,55.42,82,75,5.75,broken clouds,0,0
48,Castro,BR,2021-08-15 16:49:12,-24.7911,-50.0119,70.09,59,82,5.86,broken clouds,0,0
49,Salalah,OM,2021-08-15 16:49:13,17.0151,54.0924,77.09,94,90,6.91,overcast clouds,0,0
50,Marawi,PH,2021-08-15 16:49:13,7.9986,124.2928,67.64,95,28,2.04,scattered clouds,0,0
51,Yellowknife,CA,2021-08-15 16:49:13,62.456,-114.3525,59.52,82,75,10.36,broken clouds,0,0
52,Cabo San Lucas,MX,2021-08-15 16:49:14,22.8909,-109.9124,94.51,64,1,7.23,clear sky,0,0
53,Seoul,KR,2021-08-15 16:47:19,37.5683,126.9778,78.37,67,0,9.22,clear sky,0,0
54,Bethel,US,2021-08-15 16:49:14,41.3712,-73.414,79.81,56,1,3.44,clear sky,0,0
55,Adrar,MR,2021-08-15 16:49:14,20.5022,-10.0711,109.27,7,30,15.03,scattered clouds,0,0
56,Saldanha,ZA,2021-08-15 16:49:15,-33.0117,17.9442,64.45,74,16,10.92,few clouds,0,0
57,Mataura,NZ,2021-08-15 16:49:15,-46.1927,168.8643,49.48,89,69,5.17,broken clouds,0,0
58,Santiago De Cao,PE,2021-08-15 16:49:15,-7.9589,-79.2392,64.53,82,90,4.61,overcast clouds,0,0
59,Arraial Do Cabo,BR,2021-08-15 16:49:16,-22.9661,-42.0278,73.36,78,40,10.36,scattered clouds,0,0
60,Avarua,CK,2021-08-15 16:49:16,-21.2078,-159.775,68.05,88,100,3.44,overcast clouds,0,0
61,Albany,US,2021-08-15 16:49:17,42.6001,-73.9662,77.14,54,78,4.99,broken clouds,0,0
62,Norman Wells,CA,2021-08-15 16:49:17,65.282,-126.8329,51.84,100,90,0.0,mist,0,0
63,Butaritari,KI,2021-08-15 16:49:17,3.0707,172.7902,82.42,73,11,10.47,few clouds,0,0
64,Severo-Kurilsk,RU,2021-08-15 16:49:18,50.6789,156.125,53.58,92,17,11.7,few clouds,0,0
65,Tumut,AU,2021-08-15 16:49:18,-35.3,148.2167,38.39,90,1,1.81,clear sky,0,0
66,Hithadhoo,MV,2021-08-15 16:49:19,-0.6,73.0833,83.41,68,76,15.66,broken clouds,0,0
67,Longyearbyen,SJ,2021-08-15 16:49:19,78.2186,15.6401,39.04,75,75,18.41,broken clouds,0,0
68,Tanabe,JP,2021-08-15 16:49:19,33.7333,135.3667,76.93,89,100,3.33,overcast clouds,0,0
69,Changchun,CN,2021-08-15 16:47:42,43.88,125.3228,64.36,91,37,2.62,scattered clouds,0,0
70,Kholm,RU,2021-08-15 16:49:20,59.2667,32.85,59.43,87,93,9.26,moderate rain,0,0
71,Carnarvon,AU,2021-08-15 16:49:20,-24.8667,113.6333,57.27,57,65,6.91,broken clouds,0,0
72,Mundo Nuevo,MX,2021-08-15 16:49:21,18.7,-95.5,83.71,75,27,7.65,scattered clouds,0,0
73,Lagoa,PT,2021-08-15 16:49:21,39.05,-27.9833,70.88,76,17,9.35,few clouds,0,0
74,East London,ZA,2021-08-15 16:49:21,-33.0153,27.9116,61.74,82,0,10.36,clear sky,0,0
75,Kirakira,SB,2021-08-15 16:49:22,-10.4544,161.9205,78.13,88,84,12.26,light rain,0,0
76,Kamenka,RU,2021-08-15 16:49:22,51.3223,42.7678,70.39,75,100,6.85,overcast clouds,0,0
77,Punta Arenas,CL,2021-08-15 16:49:22,-53.15,-70.9167,42.91,93,75,10.36,broken clouds,0,0
78,Timiryazevskiy,RU,2021-08-15 16:49:23,56.49,84.8769,63.16,88,81,4.85,broken clouds,0,0
79,Yarmouth,US,2021-08-15 16:49:23,41.7057,-70.2286,82.26,64,1,15.01,clear sky,0,0
80,Husum,DE,2021-08-15 16:49:24,54.4858,9.0524,71.56,84,95,6.78,overcast clouds,0,0
81,Progreso,MX,2021-08-15 16:49:24,21.2833,-89.6667,98.11,56,20,7.58,few clouds,0,0
82,Tripoli,LY,2021-08-15 16:49:24,32.8752,13.1875,84.85,59,0,12.93,clear sky,0,0
83,Salamiyah,SY,2021-08-15 16:49:25,35.0113,37.0532,83.41,40,0,17.27,clear sky,0,0
84,Huarmey,PE,2021-08-15 16:49:25,-10.0681,-78.1522,68.38,71,68,11.77,broken clouds,0,0
85,Chicama,PE,2021-08-15 16:49:26,-7.8447,-79.1469,63.14,60,75,9.95,broken clouds,0,0
86,Port Hardy,CA,2021-08-15 16:45:15,50.6996,-127.4199,62.78,100,90,5.75,overcast clouds,0,0
87,Barrow,US,2021-08-15 16:48:51,71.2906,-156.7887,39.22,93,90,18.41,overcast clouds,0,0
88,Kasongo-Lunda,CD,2021-08-15 16:49:26,-6.4667,16.8167,87.6,33,76,1.01,broken clouds,0,0
89,Saskylakh,RU,2021-08-15 16:49:27,71.9167,114.0833,47.73,69,3,7.2,clear sky,0,0
90,El Paujil,CO,2021-08-15 16:49:27,1.5701,-75.3286,80.35,72,94,1.59,overcast clouds,0,0
91,Upernavik,GL,2021-08-15 16:49:27,72.7868,-56.1549,42.69,92,100,23.6,light rain,0,0
92,Ternate,ID,2021-08-15 16:49:28,0.8,127.4,79.59,79,36,2.21,scattered clouds,0,0
93,Korla,CN,2021-08-15 16:49:28,41.7597,86.1469,76.05,35,95,3.47,overcast clouds,0,0
94,Namibe,AO,2021-08-15 16:49:28,-15.1961,12.1522,68.77,82,3,10.83,clear sky,0,0
95,Cape Town,ZA,2021-08-15 16:48:00,-33.9258,18.4232,61.21,73,0,1.99,clear sky,0,0
96,Kingman,US,2021-08-15 16:49:29,35.1894,-114.053,88.3,47,1,3.44,clear sky,0,0
97,Srednekolymsk,RU,2021-08-15 16:45:47,67.45,153.6833,39.34,79,69,1.7,broken clouds,0,0
98,Katsuura,JP,2021-08-15 16:49:30,35.1333,140.3,69.91,95,100,11.88,overcast clouds,0,0
99,Mar Del Plata,AR,2021-08-15 16:49:11,-38.0023,-57.5575,51.82,100,40,4.61,scattered clouds,0,0
100,Wangaratta,AU,2021-08-15 16:49:30,-36.3667,146.3333,48.25,71,3,5.75,clear sky,0,0
101,Ponta Do Sol,PT,2021-08-15 16:49:31,32.6667,-17.1,84.83,51,54,6.58,broken clouds,0,0
102,Port Blair,IN,2021-08-15 16:49:31,11.6667,92.75,80.02,85,100,14.52,heavy intensity rain,0,0
103,Bonavista,CA,2021-08-15 16:49:31,48.6499,-53.1147,77.0,88,78,10.42,broken clouds,0,0
104,Ixtapa,MX,2021-08-15 16:49:32,20.7,-105.2,84.22,76,10,3.0,clear sky,0,0
